cellNum,cellID,Ah_throughput,qdis
3,G1C3,168.0178646040922,0.9600000000000002
3,G1C3,197.53736616559829,0.9500000000000002
3,G1C3,229.0923422902525,0.9400000000000002
3,G1C3,267.33792541794764,0.9300000000000002
3,G1C3,327.4476112169973,0.9200000000000002
3,G1C3,363.6556089463654,0.9100000000000001
3,G1C3,426.41107423669933,0.9000000000000001
3,G1C3,467.2222522938298,0.8900000000000001
3,G1C3,529.6850378003668,0.8800000000000001
3,G1C3,557.3061434074522,0.8700000000000001
3,G1C3,594.8520290522788,0.8600000000000001
3,G1C3,635.3526716515266,0.8500000000000001
3,G1C3,669.0580637921107,0.8400000000000001
3,G1C3,706.4163100166785,0.8300000000000001
3,G1C3,738.5714508023444,0.8200000000000001
3,G1C3,769.9718230153609,0.81
3,G1C3,796.9189443367288,0.8
4,G1C4,1.938495325131026e-24,1.0000000000000002
4,G1C4,71.1898281492445,0.9900000000000002
4,G1C4,106.73074691224971,0.9800000000000002
4,G1C4,157.18589306526619,0.9700000000000002
4,G1C4,187.03547463447956,0.9600000000000002
4,G1C4,215.42044593989817,0.9500000000000002
4,G1C4,237.746143267023,0.9400000000000002
4,G1C4,269.8361603434842,0.9300000000000002
4,G1C4,299.2875000660235,0.9200000000000002
4,G1C4,327.94486912455665,0.9100000000000001
4,G1C4,344.36288906310045,0.9000000000000001
4,G1C4,364.0952002443634,0.8900000000000001
4,G1C4,391.24878655986595,0.8800000000000001
4,G1C4,398.7649469504954,0.8700000000000001
4,G1C4,408.32963358191523,0.8600000000000001
4,G1C4,417.09436506169726,0.8500000000000001
4,G1C4,425.3393077372694,0.8400000000000001
4,G1C4,431.7967488183617,0.8300000000000001
4,G1C4,436.5484313989275,0.8200000000000001
4,G1C4,440.55167607869635,0.81
4,G1C4,444.455610444394,0.8
5,G2C1,-4.591049762581179e-13,1.0000000000000002
5,G2C1,19.588004371898368,0.9900000000000002
5,G2C1,37.10396163281284,0.9800000000000002
5,G2C1,59.00678155528757,0.9700000000000002
5,G2C1,84.90484766377122,0.9600000000000002
5,G2C1,108.4201518616964,0.9500000000000002
5,G2C1,131.55974087423172,0.9400000000000002
5,G2C1,169.08171195473082,0.9300000000000002
5,G2C1,186.031073861221,0.9200000000000002
5,G2C1,206.21627936452327,0.9100000000000001
5,G2C1,222.27702838352303,0.9000000000000001
5,G2C1,236.1657250510497,0.8900000000000001
5,G2C1,251.10360448956712,0.8800000000000001
5,G2C1,269.54530623070815,0.8700000000000001
5,G2C1,286.54905713726316,0.8600000000000001
5,G2C1,307.607368462976,0.8500000000000001
5,G2C1,324.5111818254231,0.8400000000000001
5,G2C1,332.4103654509547,0.8300000000000001
5,G2C1,337.3510051301396,0.8200000000000001
5,G2C1,341.3276775267579,0.81
5,G2C1,345.7380004349766,0.8
6,G2C2,-6.153966225497243e-13,1.0000000000000002
6,G2C2,22.8961084179955,0.9900000000000002
6,G2C2,38.932189527291044,0.9800000000000002
6,G2C2,56.94930879946013,0.9700000000000002
6,G2C2,78.52182422060466,0.9600000000000002
6,G2C2,94.98645917798422,0.9500000000000002
6,G2C2,109.83805212175038,0.9400000000000002
6,G2C2,123.01173041966095,0.9300000000000002
6,G2C2,142.49460207138918,0.9200000000000002
6,G2C2,162.97603391195534,0.9100000000000001
6,G2C2,175.64014836462607,0.9000000000000001
6,G2C2,184.2790031052669,0.8900000000000001
