cellNum,numRPTs,t_hrs,t,qdis,cellID,Ah_throughput
3,59,10993.64083,458.0683681,0.653670831,G1C3,1012.865167
3,60,11176.42111,465.684213,0.636938464,G1C3,1027.275164
3,61,11356.36778,473.1819907,0.621806758,G1C3,1041.354474
3,62,11539.31417,480.8047569,0.607197005,G1C3,1055.397423
3,63,11716.4,488.1833333,0.592895356,G1C3,1068.69803
3,64,11896.54139,495.6892245,0.578116689,G1C3,1081.981644
3,65,12076.44917,503.1853819,0.56281577,G1C3,1095.113374
3,66,12256.13667,510.6723611,0.547863119,G1C3,1107.940275
3,67,12435.02806,518.126169,0.5335219,G1C3,1120.259812
3,68,12614.88222,525.6200926,0.515129221,G1C3,1132.179303
4,1,0,0,1,G1C4,0
4,2,188.3497222,7.847905093,1.000879968,G1C4,18.00326167
4,3,376.8225,15.7009375,0.996569112,G1C4,36.02996389
4,4,565.3269444,23.55528935,0.992268143,G1C4,53.97853264
4,5,753.2027778,31.38344907,0.989865533,G1C4,71.95150567
4,6,955.8169444,39.82570602,0.984887285,G1C4,91.38950064
4,7,1161.801389,48.4083912,0.978549535,G1C4,111.2157719
4,8,1349.054722,56.21061343,0.972997825,G1C4,129.0928978
4,9,1580.421111,65.85087963,0.970980819,G1C4,151.6170711
4,10,1767.424167,73.64267361,0.966739173,G1C4,169.3779639
4,11,1954.728611,81.44702546,0.959931778,G1C4,187.233225
4,12,2141.749444,89.23956019,0.954444335,G1C4,205.025325
4,13,2329.091667,97.04548611,0.946470239,G1C4,223.0818728
4,14,2531.077778,105.4615741,0.938130314,G1C4,242.6614009
4,15,2735.205,113.966875,0.932281985,G1C4,262.4648716
4,16,2966.930278,123.6220949,0.925064267,G1C4,285.0953781
4,17,3153.391944,131.391331,0.91881056,G1C4,302.7482328
4,18,3360.188333,140.0078472,0.912670556,G1C4,322.2416241
4,19,3546.343333,147.7643056,0.9031491,G1C4,339.8156477
4,20,3773.280833,157.2200347,0.890419221,G1C4,361.5988551
4,21,3970.265556,165.4277315,0.888194582,G1C4,380.0368362
4,22,4156.591389,173.1913079,0.871633379,G1C4,397.1625665
4,23,4343.677222,180.9865509,0.853500099,G1C4,414.1017421
4,24,4528.404167,188.6835069,0.832272098,G1C4,430.5455878
4,25,4712.794722,196.3664468,0.795239272,G1C4,446.4675187
4,26,4865.846944,202.7436227,0.769215938,G1C4,458.1919395
4,27,5044.056111,210.1690046,0.754721179,G1C4,473.1301519
4,28,5228.217222,217.8423843,0.73348329,G1C4,487.8180085
4,29,5413.161667,225.5484028,0.690537868,G1C4,501.8177865
4,30,5596.193333,233.1747222,0.64035001,G1C4,515.1530539
4,31,5849.9675,243.7486458,0.593538659,G1C4,532.8407623
5,1,0,0,1,G2C1,0
5,2,186.7786111,7.78244213,0.990625483,G2C1,18.44025522
5,3,373.5305556,15.56377315,0.980136546,G2C1,36.84044717
5,4,560.3102778,23.34626157,0.971480243,G2C1,55.23646692
5,5,748.1313889,31.1721412,0.964725939,G2C1,73.53969233
5,6,949.8702778,39.57792824,0.95637716,G2C1,93.34639989
5,7,1154.804722,48.11686343,0.947806285,G2C1,113.5639433
5,8,1342.311111,55.92962963,0.939914703,G2C1,131.822868
5,9,1573.745833,65.57274306,0.93469004,G2C1,154.8918841
5,10,1759.695556,73.32064815,0.928292528,G2C1,173.0194713
5,11,1947.275556,81.13648148,0.916779036,G2C1,191.2340641
5,12,2134.480556,88.93668981,0.908349459,G2C1,209.4702026
5,13,2319.039167,96.62663194,0.896239739,G2C1,227.5886061
5,14,2518.966389,104.9569329,0.882286842,G2C1,247.2365518
5,15,2721.883056,113.411794,0.871409387,G2C1,267.0814716
5,16,2952.1325,123.0055208,0.858186134,G2C1,289.9531018
5,17,3135.304444,130.6376852,0.849921897,G2C1,307.7507142
5,18,3338.941944,139.122581,0.837410749,G2C1,327.2268335
5,19,3522.298889,146.7624537,0.803388266,G2C1,344.1715702
5,20,3747.193889,156.1330787,0.756253283,G2C1,365.1064274
5,21,3940.278333,164.1782639,0.727650067,G2C1,382.4078835
5,22,4122.721667,171.7800694,0.681885691,G2C1,398.2520669
5,23,4306.045278,179.4185532,0.632023289,G2C1,413.4411229
5,24,4486.387222,186.9328009,0.593921501,G2C1,428.1778482
5,25,4666.478333,194.4365972,0.557805961,G2C1,442.4438237
5,26,4814.745556,200.6143981,0.5335744,G2C1,452.3109667
6,1,0,0,1,G2C2,0
6,2,187.1180556,7.796585648,0.992532175,G2C2,18.23057442
6,3,374.2213889,15.59255787,0.981497802,G2C2,36.40613542
6,4,561.8841667,23.41184028,0.971075445,G2C2,54.70294178
6,5,747.8980556,31.16241898,0.963100853,G2C2,72.71139253
6,6,948.2033333,39.50847222,0.951610961,G2C2,92.44149433
6,7,1152.7075,48.02947917,0.938112298,G2C2,112.5421901
6,8,1339.479722,55.81165509,0.925007972,G2C2,130.5807837
6,9,1569.240556,65.38502315,0.915519277,G2C2,153.3173227
6,10,1755.18,73.1325,0.90406273,G2C2,171.2906161
6,11,1942.514167,80.93809028,0.885134031,G2C2,189.298759
6,12,2127.154167,88.63142361,0.873270752,G2C2,207.1369995
6,13,2312.343611,96.34765046,0.855414308,G2C2,225.0737191
6,14,2511.577222,104.6490509,0.837812035,G2C2,244.2979866
6,15,2711.976944,112.9990394,0.826129253,G2C2,263.6424432
6,16,2939.978333,122.4990972,0.813211128,G2C2,285.8096952
6,17,3122.991111,130.1246296,0.803604496,G2C2,303.3489317
6,18,3326.580556,138.6075231,0.802237249,G2C2,322.7926961
6,19,3509.396389,146.2248495,0.800426384,G2C2,340.2447319
6,20,3733.526667,155.5636111,0.796713866,G2C2,361.6836144
6,21,3929.012778,163.7088657,0.8057495,G2C2,379.7522982
6,22,4114.042778,171.4184491,0.790274722,G2C2,396.449681
6,23,4299.467222,179.1444676,0.764278634,G2C2,412.8895319
6,24,4481.916944,186.7465394,0.739198109,G2C2,428.6474955
6,25,4664.106667,194.3377778,0.707850575,G2C2,444.3019861
6,26,4818.554444,200.7731019,0.675875978,G2C2,456.0811504
6,27,4994.781389,208.1158912,0.64824775,G2C2,470.5031561
6,28,5176.9275,215.7053125,0.623033648,G2C2,484.5774992
6,29,5358.261944,223.2609144,0.589122871,G2C2,498.5380548
7,1,0,0,1,G2C3,0
7,2,187.1402778,7.797511574,0.989337782,G2C3,18.43767167
7,3,376.2797222,15.67832176,0.9777385,G2C3,36.98574261
7,4,562.5297222,23.43873843,0.967870232,G2C3,55.33808481
7,5,750.6902778,31.27876157,0.960749107,G2C3,73.75244142
7,6,949.9647222,39.58186343,0.951562965,G2C3,93.4573425
7,7,1152.615278,48.02563657,0.941821235,G2C3,113.5996637
7,8,1339.081111,55.7950463,0.932445484,G2C3,131.8854266
7,9,1568.787778,65.36615741,0.926889992,G2C3,154.7201541
7,10,1754.751389,73.1146412,0.920491307,G2C3,172.6900237
7,11,1939.364722,80.80686343,0.909498915,G2C3,190.6337438
7,12,2124.168889,88.50703704,0.900049104,G2C3,208.5455197
7,13,2311.523889,96.31349537,0.888430988,G2C3,226.6113865
7,14,2510.135833,104.5889931,0.876599916,G2C3,245.9780299
7,15,2712.661667,113.0275694,0.868180554,G2C3,265.7057565
7,16,2942.992778,122.6246991,0.854864479,G2C3,288.2336072
7,17,3127.034167,130.2930903,0.849781884,G2C3,305.8183984
7,18,3332.089167,138.8370486,0.843263529,G2C3,325.0655711
7,19,3515.560833,146.4817014,0.838437835,G2C3,342.3222646
7,20,3739.425833,155.8094097,0.825210043,G2C3,363.7624322
7,21,3934.380278,163.9325116,0.82812698,G2C3,381.8278304
7,22,4118.326944,171.596956,0.811719268,G2C3,398.5012039
7,23,4304.490556,179.3537731,0.786776739,G2C3,415.1410697
7,24,4487.373611,186.9739005,0.759279034,G2C3,431.2448324
7,25,4670.423056,194.6009606,0.723841337,G2C3,447.093671
7,26,4826.245278,201.0935532,0.679506182,G2C3,458.9939805
7,27,5001.391111,208.3912963,0.637242221,G2C3,473.2589397
7,28,5182.6925,215.9455208,0.593010454,G2C3,487.0526872
8,1,0,0,1,G2C4,0
8,2,187.8355556,7.826481481,0.98809166,G2C4,18.70295058
8,3,376.1108333,15.67128472,0.976464154,G2C4,37.44746519
8,4,562.2602778,23.42751157,0.967078392,G2C4,55.97857019
8,5,748.875,31.203125,0.960087108,G2C4,74.57198272
8,6,949.0458333,39.54357639,0.950927983,G2C4,94.51835872
8,7,1153.096667,48.04569444,0.942222135,G2C4,114.8894962
8,8,1340.1025,55.83760417,0.934467179,G2C4,133.3218858
8,9,1570.157778,65.42324074,0.92775663,G2C4,156.3960508
8,10,1757.353056,73.22304398,0.919952505,G2C4,174.7522296
8,11,1942.605278,80.94188657,0.909177354,G2C4,192.9380893
8,12,2126.454444,88.60226852,0.898988506,G2C4,211.0671906
8,13,2311.828611,96.32619213,0.886025807,G2C4,229.3839193
8,14,2512.188611,104.6745255,0.871629378,G2C4,249.2253308
8,15,2713.153889,113.0480787,0.862007124,G2C4,269.212278
8,16,2942.587222,122.6078009,0.850428887,G2C4,292.0943837
8,17,3126.093333,130.2538889,0.844491962,G2C4,309.8792935
8,18,3329.789722,138.7412384,0.841875674,G2C4,329.1096597
8,19,3513.608611,146.4003588,0.831002084,G2C4,346.4623198
8,20,3738.713611,155.7797338,0.807318431,G2C4,367.8881862
8,21,3932.694167,163.8622569,0.789404189,G2C4,385.8030528
8,22,4116.403889,171.5168287,0.758596225,G2C4,402.3114638
8,23,4299.873889,179.161412,0.7234378,G2C4,418.5286844
8,24,4481.831111,186.742963,0.693684096,G2C4,434.2855488
8,25,4663.108333,194.2961806,0.660629462,G2C4,449.7177073
8,26,4816.290556,200.6787731,0.631486104,G2C4,461.2648763
8,27,4990.7175,207.9465625,0.605181532,G2C4,475.5434722
8,28,5171.145833,215.4644097,0.580325176,G2C4,489.4290812
9,1,0,0,1,G3C1,0
9,2,187.8988889,7.82912037,0.989983071,G3C1,19.19683242
9,3,374.9666667,15.62361111,0.977518377,G3C1,38.47874722
9,4,561.4133333,23.39222222,0.966563816,G3C1,57.72430975
9,5,748.8755556,31.20314815,0.95835257,G3C1,76.96224814
9,6,948.6072222,39.52530093,0.948177876,G3C1,97.69557967
9,7,1152.741667,48.03090278,0.938529328,G3C1,118.8328605
9,8,1340.656111,55.8606713,0.929063247,G3C1,137.9976077
9,9,1569.509722,65.39623843,0.922111264,G3C1,162.0869078
9,10,1753.657222,73.06905093,0.915078776,G3C1,181.0858272
9,11,1940.158889,80.8399537,0.903779258,G3C1,200.1157663
9,12,2124.326111,88.51358796,0.896568632,G3C1,218.9259002
9,13,2309.988333,96.24951389,0.886655141,G3C1,238.0265944
9,14,2507.818056,104.492419,0.876683189,G3C1,258.6195424
9,15,2709.333056,112.8888773,0.869585154,G3C1,279.3466461
9,16,2937.713611,122.4047338,0.85975709,G3C1,303.1371111
9,17,3121.552222,130.0646759,0.854626734,G3C1,321.8484254
9,18,3326.050833,138.5854514,0.84897604,G3C1,342.6113408
9,19,3509.968056,146.248669,0.841978884,G3C1,361.2259597
9,20,3735.729167,155.6553819,0.833587433,G3C1,384.620974
9,21,3930.415556,163.7673148,0.834370647,G3C1,404.6219751
9,22,4113.872222,171.4113426,0.825200806,G3C1,423.0878263
9,23,4296.815833,179.0339931,0.815791512,G3C1,441.5943361
9,24,4479.303889,186.637662,0.807161397,G3C1,460.0019688
9,25,4662.317778,194.2632407,0.796166976,G3C1,478.3070267
9,26,4817.79,200.74125,0.788777327,G3C1,493.249569
9,27,4994.7,208.1125,0.772514962,G3C1,510.6578706
9,28,5175.278333,215.6365972,0.739900867,G3C1,528.2897978
9,29,5358.266111,223.261088,0.696297469,G3C1,545.8482293
9,30,5539.733611,230.8222338,0.644385883,G3C1,562.9054224
9,31,5793.200833,241.3833681,0.597204188,G3C1,586.5422426
10,1,0,0,1,G3C2,0
10,2,186.9216667,7.788402778,0.985186151,G3C2,18.82779067
10,3,374.205,15.591875,0.970024314,G3C2,37.66439092
10,4,559.9766667,23.33236111,0.95585155,G3C2,56.46172447
10,5,746.0836111,31.08681713,0.944018714,G3C2,75.29112897
10,6,945.8177778,39.40907407,0.927985025,G3C2,95.52834036
10,7,1149.157778,47.88157407,0.907549296,G3C2,116.0386183
10,8,1333.140833,55.54753472,0.886472679,G3C2,134.5478148
10,9,1562.224167,65.09267361,0.867495198,G3C2,157.8332615
10,10,1747.616667,72.81736111,0.853629329,G3C2,176.3718159
10,11,1928.767778,80.36532407,0.843381192,G3C2,194.6047999
10,12,2111.783611,87.9909838,0.841713813,G3C2,213.0154884
10,13,2295.521944,95.64674769,0.835197748,G3C2,231.2527401
10,14,2494.978056,103.957419,0.826612126,G3C2,251.1259618
10,15,2694.404444,112.2668519,0.807863029,G3C2,270.8431072
10,16,2921.855833,121.7439931,0.750528407,G3C2,292.5625269
10,17,3103.429444,129.3095602,0.703544948,G3C2,308.9462017
10,18,3305.115556,137.7131481,0.629372972,G3C2,325.1364318
10,19,3483.912222,145.1630093,0.588457344,G3C2,339.0348963
11,1,0,0,1,G3C3,0
11,2,187.0572222,7.794050926,0.989416652,G3C3,18.9964565
11,3,376.035,15.668125,0.977121061,G3C3,38.14971981
11,4,563.7244444,23.48851852,0.966450316,G3C3,57.30761589
11,5,748.8711111,31.20296296,0.958070821,G3C3,76.14907467
