CellID,Index,Ah-throughput,Q
TP_z15_02,23,2.6645352591003757e-14,1.0
TP_z15_02,23,484.7168741776863,0.995
TP_z15_02,23,998.7932095212884,0.99
TP_z15_02,23,1553.1804913029998,0.985
TP_z15_02,23,2688.079966694206,0.98
TP_z15_02,23,3724.755803606592,0.975
TP_z15_02,23,5011.689227229838,0.97
TP_z15_02,23,6445.553926479097,0.965
TP_z15_02,23,7837.582956272092,0.96
TP_z15_02,23,9209.978408690515,0.955
TP_z15_02,23,10653.951123739269,0.95
TP_z15_03,24,4.796163466380676e-14,1.0
TP_z15_03,24,474.944592100784,0.995
TP_z15_03,24,990.7178625051394,0.99
TP_z15_03,24,1558.2886700995762,0.985
TP_z15_03,24,2747.201659178396,0.98
TP_z15_03,24,3952.9089326673557,0.975
TP_z15_03,24,5336.196153319563,0.97
TP_z15_03,24,6690.056998736889,0.965
TP_z15_03,24,8101.393213127988,0.96
TP_z15_03,24,9670.919005809672,0.955
TP_z15_03,24,11292.694092430564,0.95
TP_z16_01,25,7.105427357601002e-15,1.0
TP_z16_01,25,108.69862178248142,0.995
TP_z16_01,25,247.88593870997462,0.99
TP_z16_01,25,423.13666618401317,0.985
TP_z16_01,25,626.8315153079151,0.98
TP_z16_01,25,879.1516552730266,0.975
TP_z16_01,25,1219.571458850404,0.97
TP_z16_01,25,1656.5706891447924,0.965
TP_z16_01,25,2142.298931870374,0.96
TP_z16_01,25,2690.2570607480347,0.955
TP_z16_01,25,3282.809650388296,0.95
TP_z16_02,26,2.1316282072803006e-14,1.0
TP_z16_02,26,124.5119928758425,0.995
TP_z16_02,26,278.197039229925,0.99
TP_z16_02,26,468.55661689307203,0.985
TP_z16_02,26,690.2440597078763,0.98
TP_z16_02,26,1022.0365830661899,0.975
TP_z16_02,26,1441.2700695081269,0.97
TP_z16_02,26,1889.3764264399656,0.965
TP_z16_02,26,2423.554769711097,0.96
TP_z16_02,26,2944.996198778306,0.955
TP_z16_02,26,3453.7374299416124,0.95
TP_z16_03,27,2.3092638912203256e-14,1.0
TP_z16_03,27,141.47216354188194,0.995
TP_z16_03,27,301.0374120188516,0.99
TP_z16_03,27,481.5226438681031,0.985
TP_z16_03,27,692.0868575423403,0.98
TP_z16_03,27,987.6114595652081,0.975
TP_z16_03,27,1371.5429900789102,0.97
TP_z16_03,27,1812.5865640338957,0.965
TP_z16_03,27,2287.5776797315357,0.96
TP_z16_03,27,2914.6665660396834,0.955
TP_z16_03,27,3516.856430633542,0.95
TP_z17_01,28,2.842170943040401e-14,1.0
TP_z17_01,28,98.23406388012594,0.995
TP_z17_01,28,241.266180856027,0.99
TP_z17_01,28,413.7330676686894,0.985
TP_z17_01,28,629.0293845046807,0.98
TP_z17_01,28,903.4112725440422,0.975
TP_z17_01,28,1229.6848614159758,0.97
TP_z17_01,28,1622.7063875115853,0.965
TP_z17_01,28,2084.054318951798,0.96
TP_z17_01,28,2639.125543646722,0.955
TP_z17_01,28,3274.9403819331264,0.95
TP_z17_02,29,4.973799150320701e-14,1.0
TP_z17_02,29,105.84100757510413,0.995
TP_z17_02,29,250.36350101653173,0.99
TP_z17_02,29,421.17446296969933,0.985
TP_z17_02,29,627.7998682006646,0.98
TP_z17_02,29,889.3416483127203,0.975
TP_z17_02,29,1223.9115742384492,0.97
TP_z17_02,29,1595.8759693627746,0.965
TP_z17_02,29,2006.8769859139595,0.96
TP_z17_02,29,2532.927378292538,0.955
TP_z17_02,29,3188.015239126773,0.95
TP_z17_03,30,7.105427357601002e-14,1.0
TP_z17_03,30,132.28692863039598,0.995
TP_z17_03,30,298.82273182550796,0.99
TP_z17_03,30,490.0300236575433,0.985
TP_z17_03,30,722.9861661156596,0.98
TP_z17_03,30,1005.4262770904228,0.975
TP_z17_03,30,1351.3902139200227,0.97
TP_z17_03,30,1714.2402639903005,0.965
TP_z17_03,30,2127.117106372717,0.96
TP_z17_03,30,2667.0878803492255,0.955
TP_z17_03,30,3300.9527526545735,0.95
TP_z18_01,31,5.684341886080802e-14,1.0
TP_z18_01,31,106.18233456673761,0.995
TP_z18_01,31,293.79755711543294,0.99
TP_z18_01,31,530.1056690520784,0.985
TP_z18_01,31,852.9095894604845,0.98
TP_z18_01,31,1258.8406361608188,0.975
TP_z18_01,31,1704.8544799544247,0.97
TP_z18_01,31,2242.72509825418,0.965
TP_z18_01,31,2857.856175741164,0.96
TP_z18_01,31,3570.1769382035445,0.955
TP_z18_01,31,4327.767065554795,0.95
TP_z18_02,32,2.842170943040401e-14,1.0
TP_z18_02,32,189.74742231085725,0.995
TP_z18_02,32,420.9280850916019,0.99
TP_z18_02,32,685.8435233197074,0.985
TP_z18_02,32,1005.5973051057501,0.98
TP_z18_02,32,1357.8763251803837,0.975
TP_z18_02,32,1758.8861372605184,0.97
TP_z18_02,32,2214.3732391306985,0.965
TP_z18_02,32,2742.2584075271784,0.96
TP_z18_02,32,3418.0303572791518,0.955
TP_z18_02,32,4173.807020177735,0.95
TP_z18_03,33,4.973799150320701e-14,1.0
TP_z18_03,33,199.2815800958373,0.995
TP_z18_03,33,446.33579120663984,0.99
TP_z18_03,33,734.811013677577,0.985
TP_z18_03,33,1086.1200149002977,0.98
TP_z18_03,33,1479.1234514779908,0.975
TP_z18_03,33,1941.240906454007,0.97
TP_z18_03,33,2477.2965076371693,0.965
TP_z18_03,33,3094.543934319632,0.96
TP_z18_03,33,3821.1784180584564,0.955
TP_z18_03,33,4538.951257952579,0.95
TP_z19_02,34,8.526512829121202e-14,1.0
TP_z19_02,34,1450.1930057299837,0.995
TP_z19_02,34,2966.8366769281274,0.99
TP_z19_02,34,5189.421864850943,0.985
TP_z19_02,34,7604.6516752075295,0.98
TP_z19_02,34,10188.157509981469,0.975
TP_z19_02,34,14102.411103887878,0.97
TP_z19_02,34,18159.968783652475,0.965
TP_z19_02,34,22848.48747005425,0.96
TP_z19_02,34,27255.873221271624,0.955
TP_z19_02,34,29596.193973268106,0.95
TP_z19_03,35,0.0,1.0
TP_z19_03,35,1716.6497790182084,0.995
TP_z19_03,35,3474.210169698586,0.99
TP_z19_03,35,5978.9865302309745,0.985
TP_z19_03,35,8277.30443403066,0.98
TP_z19_03,35,11551.756556119233,0.975
TP_z19_03,35,15260.823186027314,0.97
TP_z19_03,35,19104.256719961653,0.965
TP_z19_03,35,23150.62905964185,0.96
TP_z19_03,35,27452.756511107964,0.955
TP_z19_03,35,29659.99958773695,0.95
TP_z20_01,36,4.263256414560601e-14,1.0
TP_z20_01,36,62.32432261420506,0.995
TP_z20_01,36,181.0126341281175,0.99
TP_z20_01,36,337.0667133333589,0.985
TP_z20_01,36,573.8720769459236,0.98
TP_z20_01,36,839.0201211064546,0.975
TP_z20_01,36,1155.7704953882755,0.97
TP_z20_01,36,1549.542061072915,0.965
TP_z20_01,36,2036.4867565839759,0.96
TP_z20_01,36,2578.446795589784,0.955
TP_z20_01,36,3173.911429193443,0.95
TP_z20_02,37,1.4210854715202004e-14,1.0
TP_z20_02,37,70.00873800211221,0.995
TP_z20_02,37,204.1737201342615,0.99
TP_z20_02,37,394.0828600541047,0.985
TP_z20_02,37,661.7960274529199,0.98
TP_z20_02,37,956.936560931486,0.975
TP_z20_02,37,1286.0706487650912,0.97
TP_z20_02,37,1762.807775903454,0.965
TP_z20_02,37,2318.809659521024,0.96
TP_z20_02,37,2918.0326179169256,0.955
TP_z20_02,37,3552.7275297647107,0.95
TP_z20_03,38,2.842170943040401e-14,1.0
TP_z20_03,38,66.72292540008947,0.995
TP_z20_03,38,183.07129110109884,0.99
TP_z20_03,38,333.29707268588504,0.985
TP_z20_03,38,554.1367347438371,0.98
TP_z20_03,38,787.857840327411,0.975
TP_z20_03,38,1047.9600565478993,0.97
TP_z20_03,38,1354.9471478096507,0.965
TP_z20_03,38,1783.8836412194978,0.96
TP_z20_03,38,2277.861286244802,0.955
TP_z20_03,38,2845.7983951143246,0.95
TP_z21_02,39,2.4868995751603507e-14,1.0
TP_z21_02,39,331.7476345825652,0.995
TP_z21_02,39,738.7593325480227,0.99
TP_z21_02,39,1242.3113069250055,0.985
TP_z21_02,39,1838.1886383579306,0.98
TP_z21_02,39,2518.358766315168,0.975
TP_z21_02,39,3404.518847234148,0.97
TP_z21_02,39,4414.902392440649,0.965
TP_z21_02,39,5590.992864581228,0.96
TP_z21_02,39,6849.916066385515,0.955
TP_z21_02,39,8170.787649718838,0.95
TP_z21_03,40,3.197442310920451e-14,1.0
TP_z21_03,40,320.713450167986,0.995
TP_z21_03,40,722.1668549045422,0.99
TP_z21_03,40,1211.6046085444066,0.985
TP_z21_03,40,1761.7801828562842,0.98
TP_z21_03,40,2362.846947953878,0.975
TP_z21_03,40,3217.4214821431397,0.97
TP_z21_03,40,4204.366782661439,0.965
TP_z21_03,40,5356.799953198573,0.96
TP_z21_03,40,6625.766828247205,0.955
TP_z21_03,40,7850.748911983311,0.95
TP_z22_01,41,2.6645352591003757e-14,1.0
