Q_dch_interp_01,Q_dch_interp_03,Q_dch_interp_05,Q_dch_interp_07,Q_dch_interp_09,Q_dch_interp_11,Q_dch_interp_13,Q_dch_interp_17,Q_dch_interp_19,Q_dch_interp_21,Q_dch_interp_23
-4.737828365594093,-4.667826264492983,-4.627753387642502,-4.597877424404548,-4.54948828768355,-4.506816586953475,-4.470205007607766,-4.326854004347685,-4.05490907080604,-3.858938672639285,-3.929814572404713
-4.734198024193986,-4.6642138753672695,-4.624148787625421,-4.5942874047903075,-4.545877378943079,-4.503183140941829,-4.466635400148024,-4.3231027944586735,-4.0510676773702015,-3.855092394660602,-3.9259071796842218
-4.730468316941076,-4.6605059216659175,-4.620449245725418,-4.590602012901524,-4.542170294900517,-4.499452244425566,-4.462965471997624,-4.319247312247166,-4.047118926176338,-3.8511386535922867,-3.9218941480898466
-4.726637080096475,-4.656700140022907,-4.616652527717931,-4.586818782011096,-4.538364466559762,-4.49562117543922,-4.459192200797189,-4.315284570441989,-4.043059561558663,-3.8470740986027487,-3.9177731905832434
-4.722702149921292,-4.652794267072218,-4.6127563993784,-4.5829352453919245,-4.5344573249247135,-4.491687212017328,-4.455312564187347,-4.311211581771972,-4.038886327851382,-3.842895378860405,-3.9135420201260698
-4.718661362676639,-4.648786039447825,-4.608758626482264,-4.578948936316912,-4.530446300999273,-4.487647632194419,-4.4513235398087225,-4.307025358965942,-4.034595969388707,-3.838599143533666,-3.9091983496799783
-4.714512554623624,-4.644673193783709,-4.60465697480496,-4.574857388058958,-4.526328825787338,-4.483499714005029,-4.447222105301942,-4.302722914752725,-4.030185230504844,-3.834182041790948,-3.904739892206628
-4.710253562023359,-4.640453466713849,-4.600449210121927,-4.570658133890963,-4.522102330292812,-4.479240735483691,-4.443005238307631,-4.29830126186115,-4.025650855534005,-3.8296407228006597,-3.9001643606676697
-4.705882221136955,-4.636124594872222,-4.596133098208604,-4.566348707085828,-4.517764245519591,-4.474867974664937,-4.438669916466415,-4.293757413020044,-4.0209895888104,-3.8249718357312195,-3.8954694680247646
-4.7013963682255175,-4.63168431489281,-4.591706404840429,-4.561926640916454,-4.513312002471578,-4.470378709583303,-4.43421311741892,-4.289088380958237,-4.016198174668235,-3.8201720297510366,-3.8906529272395654
-4.6967938395501605,-4.627130363409588,-4.58716689579284,-4.557389468655741,-4.508743032152669,-4.46577021827332,-4.429631818805772,-4.284291178404552,-4.011273357441721,-3.8152379540285253,-3.8857124512737276
-4.6920724713719935,-4.622460477056537,-4.582512336841276,-4.55273472357659,-4.504054765566767,-4.461039778769525,-4.424922998267597,-4.279362818087822,-4.006211881465067,-3.8101662591207988,-3.880645753088908
-4.687230099952126,-4.617672392467633,-4.577740493761177,-4.5479599389519025,-4.499244633717772,-4.456184669106449,-4.420083633445021,-4.274300312736872,-4.001010491072483,-3.8049538454583995,-3.8754505456467623
-4.682264561551671,-4.6127638462768585,-4.5728491323279785,-4.543062648054579,-4.494310067609581,-4.451202167318623,-4.415110701978669,-4.26910067508053,-3.995665930598178,-3.799598150545497,-3.8701245419089454
-4.677173692431734,-4.607732575118188,-4.567836018317121,-4.538040384157519,-4.489248498246096,-4.446089551440586,-4.410001181509169,-4.263760917847623,-3.9901749443763608,-3.794096681491914,-3.864665454837113
-4.6719553288534295,-4.602576315625605,-4.562698917504042,-4.5328906805336215,-4.484057356631217,-4.440844099506869,-4.404752049677143,-4.258278066939838,-3.9845342767412415,-3.7884469454074745,-3.859070997392921
-4.666607307077864,-4.597292908118093,-4.557435625243242,-4.527611449360743,-4.478734073768844,-4.435463109178676,-4.399360284123221,-4.252649792328349,-3.978740672027027,-3.782646449401997,-3.8533388825380257
-4.66112746336615,-4.591881581566415,-4.552044928507045,-4.522202459498122,-4.473276450775191,-4.429944926430614,-4.393822920596587,-4.246874686185441,-3.97279087456793,-3.776692700585306,-3.847466823234082
-4.655513633979398,-4.586342556347241,-4.546526817672393,-4.5166640475990025,-4.46768432779816,-4.42428945184628,-4.38813840508312,-4.240951411739217,-3.966681628698157,-3.7705832060672217,-3.8414525324427458
-4.649764013739446,-4.580676074234355,-4.540881355550798,-4.510996550460188,-4.461958243401549,-4.418496711849731,-4.382306636030756,-4.234878632217772,-3.960409678751919,-3.7643154729575663,-3.835293723125674
-4.643878632310928,-4.574882377001538,-4.535108604953778,-4.505200304878485,-4.456098736766535,-4.412566732865021,-4.3763275784433695,-4.228655010849208,-3.9539717690634237,-3.7578870083661635,-3.82898810824452
-4.637858104712079,-4.568961706422578,-4.5292086286928415,-4.499275647650699,-4.4501063470742945,-4.406499541316202,-4.370201197324828,-4.222279210861623,-3.947364643966881,-3.751295319402832,-3.822533400760941
-4.6317030462145565,-4.562914304271249,-4.52318148957951,-4.493222915573634,-4.443981613506007,-4.400295163627328,-4.363927457679008,-4.215749895483118,-3.9405850477965014,-3.7445379131773975,-3.8159273136365925
-4.625414072090029,-4.55674041232134,-4.5170272504252935,-4.487042445444094,-4.437725075242853,-4.393953626222457,-4.357506324509777,-4.209065727941791,-3.933629724886492,-3.7376122967996794,-3.809167559833129
-4.61899179761016,-4.5504402723466315,-4.5107459740417095,-4.480734574058884,-4.431337271466008,-4.387474955525639,-4.35093776282101,-4.202225371465741,-3.926495419571064,-3.7305159773795,-3.8022518523122084
-4.612436838046615,-4.544014126120909,-4.504337723240267,-4.474299638214809,-4.424818741356653,-4.38085917796093,-4.344221737616578,-4.195227489283072,-3.919178876184426,-3.723246462026682,-3.7951779040354845
-4.605749808671055,-4.5374622154179525,-4.497802560832485,-4.467737974708676,-4.418170024095965,-4.374106319952384,-4.337358213900352,-4.188070744621878,-3.9116768390607866,-3.7158012578510466,-3.787943427964614
-4.598931324755146,-4.530784782011544,-4.491140549629876,-4.4610499203372855,-4.411391658865123,-4.3672164079240545,-4.330347156676205,-4.180753800710261,-3.903986052534355,-3.7081778719624157,-3.7805461370612523
-4.5919820015705515,-4.523982067675469,-4.484351752443958,-4.454235811897446,-4.404484184845305,-4.360189468299996,-4.323188530948009,-4.17327532077632,-3.896103260939341,-3.700373811470612,-3.772983744287054
