Q_dch_interp_01,Q_dch_interp_03,Q_dch_interp_05,Q_dch_interp_07,Q_dch_interp_09,Q_dch_interp_11,Q_dch_interp_13,Q_dch_interp_15,Q_dch_interp_17
-4.357984700612229,-4.274130310730952,-4.239457335318582,-4.217993404111665,-4.185071788475283,-4.138516811574047,-4.113661653211549,-4.037711326227146,-3.878763841027223
-4.34575833456415,-4.262121689621075,-4.228559648349794,-4.20619037746515,-4.174311570808532,-4.126944325326197,-4.102118216815605,-4.026337137248327,-3.867094925957801
-4.333149695820046,-4.249735906345536,-4.2165669275675635,-4.193999256804204,-4.1624237834346545,-4.114973305679804,-4.090200788122647,-4.014646756164004,-3.855088083154314
-4.320172541692436,-4.236989240921694,-4.203832832053574,-4.181453475716711,-4.149770952315506,-4.102595863326459,-4.0778938747861835,-4.002622641632099,-3.842717122537773
-4.306908011461235,-4.223897973366914,-4.190721509080251,-4.16858646779056,-4.136738044067458,-4.089810747191393,-4.065197960976325,-3.9902465776383265,-3.8299558540291914
-4.293472918980743,-4.210476272092183,-4.177291735914557,-4.155427256506073,-4.123376809645084,-4.076616750180661,-4.052131501652134,-3.9775003481683946,-3.816778087549581
-4.279851742736319,-4.1967129424583325,-4.1635577573435425,-4.141960639526204,-4.109682091153528,-4.063012665200318,-4.038713574472724,-3.96436573720802,-3.803157633019956
-4.265911150927306,-4.182580030761854,-4.149533818154251,-4.128145904500863,-4.095648730697939,-4.048997285156415,-4.024935352471158,-3.9508245287429107,-3.7890683003613264
-4.251513738972725,-4.168049285648188,-4.135233766771661,-4.113942031190161,-4.0812715190560604,-4.034569402955009,-4.010741035206026,-3.9368585067587807,-3.7744838994947076
-4.236522102291603,-4.153092455762763,-4.120575418202987,-4.099307999354217,-4.066527244785955,-4.019727811502154,-3.996173186491718,-3.9224494552413436,-3.7593782403411105
-4.220798836302963,-4.137680557924502,-4.105256105303078,-4.084192662787968,-4.051348294545385,-4.004471303703904,-3.9813855125454065,-3.90757915817631,-3.7437251328215484
-4.205735259968632,-4.121780931017117,-4.089101955005861,-4.0684806254014605,-4.035660330423971,-3.988798672466311,-3.965343869172229,-3.8922293996529667,-3.7282224427938875
-4.192998458946494,-4.105359761014328,-4.074793278715396,-4.052032934257883,-4.019389014511329,-3.9727005294851137,-3.9518648998404413,-3.8763885616618565,-3.7125151128248666
-4.171583837558383,-4.088383233485433,-4.056095858675901,-4.035054940280273,-4.0024738683207,-3.956126403446604,-3.9325765033542464,-3.8600694622672718,-3.6931838480908503
-4.154746212415785,-4.070815401049556,-4.038858977224559,-4.0177448230100765,-3.984992886161671,-3.9390129550332524,-3.9155595133215337,-3.8432905753965803,-3.6758993017104813
-4.136317036869013,-4.052599923477213,-4.020986483607777,-3.9998229686108293,-3.967097958981975,-3.9212968404580026,-3.897552308120712,-3.8260703749771614,-3.6577725961848935
-4.1170717554888645,-4.033669131521663,-4.002208961129873,-3.981237623105143,-3.9487261709495076,-3.902914715933786,-3.878883742206053,-3.8084272427596515,-3.6385781007830094
-4.097015578148315,-4.013955234524245,-3.982662752946165,-3.9619424394657914,-3.9295394832011334,-3.8838032376735416,-3.859596461525103,-3.7903304010872994,-3.6189617877939795
-4.076150002067156,-3.9933908601490735,-3.96237464402511,-3.94189107066555,-3.909350343971357,-3.8638990618902036,-3.839636167747626,-3.7716191092605063,-3.598772934094659
-4.054476524465195,-3.97192552497191,-3.9412713434974185,-3.921037169677194,-3.888343300940975,-3.8431388447967127,-3.818933214462434,-3.7521113966697355,-3.5776836935910614
-4.031996642562228,-3.9495310544119073,-3.9192691602765346,-3.8993343894734998,-3.866752658151181,-3.8214218838476475,-3.7974164940470674,-3.731641390824704,-3.5556594098890617
-4.008711853578053,-3.926181807857115,-3.8963307888549705,-3.876736432177936,-3.8446243296276257,-3.7984768454536852,-3.7750234502279607,-3.7103445339424503,-3.532685721408395
-3.9846129671886334,-3.9019265947914445,-3.872583746285753,-3.853257234036609,-3.8211000295230924,-3.7753742502579777,-3.751724303358142,-3.6885351309731336,-3.508748266568804
-3.959586433763313,-3.876938579081348,-3.8481921423835272,-3.8290833611389794,-3.7960682524849463,-3.7514406360592387,-3.7274971245132846,-3.6653778999806033,-3.483832683790026
-3.9334597526692456,-3.8514027412182252,-3.8232585476230865,-3.8041825565480205,-3.7710328264971635,-3.7255953383557063,-3.702317230802965,-3.6412617422370026,-3.457929255213491
-3.9060668921135515,-3.8253437350179396,-3.796953545949898,-3.7776287354002354,-3.744721725269349,-3.6990574828773117,-3.676151207376785,-3.6151514256658133,-3.4311372521191132
-3.8774045482710626,-3.7981726778992804,-3.7690236866010065,-3.750505551746116,-3.718095361789161,-3.672831696016549,-3.648964091658138,-3.591182379788714,-3.4036661619843755
-3.8476310260333486,-3.769203446698511,-3.7396749109968757,-3.721297129009128,-3.68919456061222,-3.6436803001445894,-3.62072566241043,-3.5641383756686835,-3.375544272508678
-3.816642411214257,-3.738841241502876,-3.71164956021393,-3.691532451244554,-3.659663952972261,-3.6149403047257205,-3.591410822325027,-3.5366982420005155,-3.3460439921324063
-3.7842707892511736,-3.707715482447249,-3.680406973194376,-3.6619337427905223,-3.6292810281389905,-3.5843819009240483,-3.561017424054391,-3.508151921639473,-3.315620693000116
-3.7529323704247473,-3.674800703410703,-3.6492869042119036,-3.6305271362116054,-3.5968679570665016,-3.552808565237167,-3.529617877719592,-3.4786770505709357,-3.284911192178017
-3.7178235606921692,-3.641965058650893,-3.6169136864907205,-3.5983413425678656,-3.5658688546900694,-3.521254499105707,-3.497449186335609,-3.447962263548787,-3.253735904475274
-3.6834747876245806,-3.6083436770058332,-3.5831403981357846,-3.5646777671423853,-3.532502869386794,-3.488783724336776,-3.465285994638343,-3.416308591034971,-3.221897255322299
-3.648025740550479,-3.5737688204152764,-3.5491438913726148,-3.530392835031092,-3.4988204344401366,-3.454555541040383,-3.431803830684854,-3.384241446621423,-3.189237120885185
-3.6122283116063256,-3.5381309073553355,-3.5142111695062432,-3.4958677318267,-3.4641842658965594,-3.4206184825784387,-3.398096930082476,-3.3511590806213603,-3.155987915452455
-3.5751257514517247,-3.502142214795368,-3.478020424598658,-3.4600579741269466,-3.4271608871530685,-3.3855570364635144,-3.3611513343868213,-3.3175059351735987,-3.1225364838406384
-3.537369698264106,-3.4651598377414534,-3.441791622040977,-3.4235227001451882,-3.392316371515385,-3.349209139186884,-3.3267143944901716,-3.2831167288028467,-3.088488594014987
-3.4990877121807626,-3.42732350820349,-3.4048073749752428,-3.3866157730584763,-3.3556248524560455,-3.3128898612847655,-3.2904746340282784,-3.2482057301400813,-3.0539173378134583
-3.460150530546798,-3.389631840891797,-3.366784651162104,-3.349175623351023,-3.3179942970504133,-3.2751886851455208,-3.2540607940716777,-3.2130374066573193,-3.018884226718368
-3.4207574604027706,-3.351485427276038,-3.329007403678942,-3.311246088664078,-3.280792584311669,-3.238867630904852,-3.2174289832911738,-3.1779267964533915,-2.9856503688953104
-3.381224957924838,-3.31203543838413,-3.290121665739789,-3.272967320590754,-3.242156659022817,-3.2014155318307767,-3.179057496783681,-3.141581468693574,-2.9490845294033736
-3.3411988349742607,-3.27224653410761,-3.251886795162802,-3.2343473114620847,-3.2033643035276422,-3.164303950188965,-3.1432627521804504,-3.1047058154849534,-2.9140417838498394
-3.300315538089533,-3.233228768785062,-3.2122861682037986,-3.195349423319626,-3.1642503765597336,-3.125025649069501,-3.1047583601642152,-3.068390420408549,-2.8789646544250087
-3.259594553788128,-3.1935781135808896,-3.173402205439229,-3.155937014753035,-3.125431199846666,-3.0879476325141204,-3.066893538295768,-3.031395812287194,-2.8439398660477613
-3.218826134392413,-3.153080017760956,-3.133167234615452,-3.1162655968130424,-3.0871338254890293,-3.0488760987832597,-3.02883318617086,-2.9941057195139837,-2.808485024460432
-3.1772886345616933,-3.112991733067959,-3.0919401645616404,-3.0764691899224976,-3.0485804246664134,-3.0105443588183154,-2.9909396618317583,-2.9562050098850796,-2.7728983186035006
-3.1365030154946982,-3.0716475425400116,-3.052875969949834,-3.0372710261759863,-3.009324619237547,-2.972375917494875,-2.953422431898638,-2.919885271230696,-2.7377920459656937
-3.09556526418934,-3.0320949201994725,-3.013885817872968,-2.997691307548649,-2.9714809368276023,-2.934865926178652,-2.915940974626453,-2.8816020047278466,-2.703446244228833
-3.0544980601688465,-2.991722372315216,-2.9748176213173294,-2.95818898990996,-2.9326461570113094,-2.8963995554235313,-2.878274617891249,-2.843915176813505,-2.668494337308574
-3.013811570838578,-2.9528685967760415,-2.934725897316046,-2.9199541510482043,-2.893802906198725,-2.858533626922969,-2.841285658731709,-2.8084416572114943,-2.6335205708351905
-2.9731720345107835,-2.9142410906439062,-2.8962104465062066,-2.880758290119183,-2.855795966654998,-2.8215886853897434,-2.804192692682441,-2.7714036711023646,-2.5993043561471
-2.931722206615362,-2.8747250627627263,-2.857362621574527,-2.841225550871603,-2.8179854549193957,-2.7842706719188284,-2.767760284298388,-2.7337915157098607,-2.5646814162790887
-2.893579691482837,-2.8363332723828236,-2.820254516095992,-2.805535564948015,-2.7817472762581232,-2.748549080686196,-2.7314915577940884,-2.699449425471188,-2.532347413864206
-2.853784526452613,-2.796891308424712,-2.7828135019798372,-2.7676097222648064,-2.743432461910902,-2.711816874552632,-2.6947458478500637,-2.66316231084807,-2.4982167483251105
-2.815215524936825,-2.7618683766070378,-2.7462519480671634,-2.731195798139396,-2.707931407751995,-2.6763473755535507,-2.6595757344969257,-2.6275449831136832,-2.4667673269432373
-2.77691189357173,-2.7253599415164014,-2.710160319728009,-2.695380590310629,-2.672476594566916,-2.64136293551853,-2.6254970479544926,-2.593008078336455,-2.4342126548134067
-2.739618983188015,-2.6896252596339525,-2.6743158430433693,-2.6598446585030278,-2.6379872646440936,-2.60669478854913,-2.591062812524409,-2.5593454115737915,-2.4033139500538687
-2.7030358362124156,-2.6545919512337304,-2.638648993270069,-2.6257449640029433,-2.6035058628859877,-2.5723766360383618,-2.5571589272825506,-2.524901151911906,-2.371888410964566
-2.6670624870792836,-2.6202250291788554,-2.6046388207259903,-2.589779868240509,-2.5692291599426866,-2.5385516706172977,-2.524098992033727,-2.491384064048746,-2.3407602894662944
-2.63165898237407,-2.585633275735015,-2.5699856708036486,-2.556384626595511,-2.535774905898203,-2.5052862910177334,-2.4912379248868173,-2.45841217207671,-2.309311492577575
-2.596749612660113,-2.5520754386794042,-2.537580519293702,-2.523970518031483,-2.502935626792189,-2.472585193473522,-2.4585823638141475,-2.426774471539539,-2.279150011995171
-2.562311173378979,-2.51933852946382,-2.504264458796196,-2.4909219483837597,-2.4704680108625188,-2.4403471657351323,-2.4262485519794788,-2.3930250843926095,-2.2492336779174913
-2.5288881513454506,-2.4865222862442633,-2.4716110983694923,-2.4581881609272145,-2.4381287463470613,-2.408199767712659,-2.394352710692887,-2.3624346791496347,-2.2188243245438715
-2.4956598248670017,-2.4542297197721132,-2.439451223778237,-2.4257368103302093,-2.4058207785403454,-2.376053126570711,-2.36273998799627,-2.330355060681923,-2.18852803901212
-2.4622030589654362,-2.422337786732803,-2.407433486792438,-2.3937164104106685,-2.3741832057584156,-2.3452610870380464,-2.331648705980402,-2.2991606272426015,-2.158546439926607
-2.429449627881061,-2.38993617878258,-2.3752085959350353,-2.3619287657739854,-2.3426673385591354,-2.3130963808776768,-2.2995785325557176,-2.267515746053668,-2.1277030727640405
-2.39725641493249,-2.3579313838767355,-2.3433467080195625,-2.3300081859542603,-2.3106532982340076,-2.281573298597747,-2.268510048171603,-2.2358225706075605,-2.0976022553353926
-2.36477104725755,-2.3260130727023114,-2.3117928132324477,-2.297590005908354,-2.278968651752882,-2.2500218978119038,-2.236473449705052,-2.2039499243997174,-2.066152682132074
-2.332133073518771,-2.2938086887464446,-2.2797318915755396,-2.266349143819326,-2.2471368832033356,-2.2179087681181313,-2.20449378172617,-2.171662717549349,-2.034969369642753
-2.2997343329957793,-2.2616557114648392,-2.2473128892250678,-2.2335756156297757,-2.214807767471163,-2.185637144212065,-2.172322829771588,-2.1402551241729344,-2.0039678388885527
-2.2668982180863773,-2.2299356230110052,-2.2152276168169767,-2.2014649735907845,-2.1825344333750065,-2.153399987129556,-2.1402365894090702,-2.107846676078948,-1.9718941297185415
-2.2333919037110777,-2.195313930970651,-2.181550953914072,-2.1680840225709312,-2.1496500681873854,-2.1208780112429673,-2.107312495565875,-2.074611361912698,-1.939054133523551
-2.199869928839555,-2.1633029746117978,-2.148697161404986,-2.1353387010533704,-2.1160852440199758,-2.0877515277037166,-2.0733283221289205,-2.0414611543791787,-1.9061575089960354
-2.1657040872148787,-2.1297201666422536,-2.114866288148708,-2.1017948549075003,-2.0833739585052147,-2.0539256329403592,-2.040193085371299,-2.008125927041098,-1.873110980325471
-2.132078244672576,-2.09546710906762,-2.08132805977453,-2.0681769180995815,-2.048506429604263,-2.0194808794601213,-2.0061600841157863,-1.9740641611859373,-1.8395118400610677
-2.0965652826921524,-2.0606936034997165,-2.0464425351351236,-2.0335937125717036,-2.0144477333734505,-1.9849740795763373,-1.9705567734408915,-1.9401563572091236,-1.8053717329270178
-2.061587106564612,-2.0255997613662196,-2.0119283998801745,-1.9990407137748056,-1.9795594962415777,-1.9500680603666556,-1.9355928328466732,-1.9045990634773788,-1.770464874367025
-2.0217480659795957,-1.9897541367656844,-1.9758469915842922,-1.9629393799249164,-1.9419286622814065,-1.910895124909214,-1.8967114882200922,-1.867889434356941,-1.7329931533152592
