Q_dch_interp_01,Q_dch_interp_03,Q_dch_interp_05,Q_dch_interp_07,Q_dch_interp_09
-0.946628870526982,-0.8790075103297315,-0.8283157971101993,-0.7980423644833361,-0.7159987694669746
-0.9130352417058173,-0.8450982150983306,-0.7933538699437983,-0.7640790618977454,-0.6839740305409
-0.8777671539887991,-0.8092791037724281,-0.7573095833604906,-0.7284901240805016,-0.6508571501374965
-0.8382358607686234,-0.770297699879657,-0.7187376245897878,-0.6908617663774672,-0.6165803363914154
-0.7959265592835754,-0.7297439276296831,-0.6774369810598153,-0.6515254309684879,-0.5809036204317225
-0.7472373446371132,-0.684367598319632,-0.6329991688066665,-0.6090934641911234,-0.5425555803431253
-0.6924031655983551,-0.6352649665493787,-0.5840434593396272,-0.562833914334048,-0.5012749156889187
-0.6313704590919308,-0.5806283572282663,-0.5322005417119665,-0.5148848156656731,-0.4591967120418523
-0.5673997876620803,-0.5239682586166958,-0.4770251290431544,-0.4636432329846717,-0.4145864510590096
-0.5002710477683694,-0.46315302046973716,-0.4200032291118585,-0.4099010784948834,-0.36715661060036603
-0.4331597523589536,-0.40356069014875107,-0.3627461298156544,-0.35699448461168803,-0.32041108224129466
-0.3677962214830248,-0.3463462451730171,-0.30866670584199357,-0.3051598475227171,-0.2746882874188382
-0.306540400376577,-0.291191540941248,-0.25738669707492906,-0.25629916689033955,-0.2300424120428389
-0.24911807745575223,-0.24006107728956594,-0.2096364691412602,-0.20994596362109852,-0.18863660620355896
-0.20120584483686915,-0.1948838744377146,-0.16875106917743954,-0.17012525833852335,-0.15129850304918513
-0.16243534572959195,-0.15764089152945285,-0.1359419387478248,-0.13671723986774678,-0.11986579714498696
-0.13272070146267578,-0.1279772433998947,-0.11024482968458166,-0.11025857129717295,-0.09468626269262241
-0.10912814442842547,-0.10464321176216203,-0.0899322693353189,-0.0892659459341399,-0.07465371989241032
-0.09020646068125374,-0.08598430186272037,-0.07335388328550446,-0.0721675910028711,-0.05863351192896349
-0.0745272591175615,-0.07043631254717422,-0.05951041008739797,-0.058017552138156105,-0.045797114608819176
-0.06121281687326944,-0.0572668713613001,-0.04800738780476338,-0.046379046293798375,-0.03553397019380495
-0.049950772361242256,-0.046180011349523147,-0.03847329119033022,-0.036830074682406705,-0.02723819442988809
