Q_dch_interp_01,Q_dch_interp_03,Q_dch_interp_05,Q_dch_interp_07,Q_dch_interp_09,Q_dch_interp_11,Q_dch_interp_13,Q_dch_interp_15
-3.8542746007936093,-3.788035359565957,-3.741524445498554,-3.699206047181315,-3.616096253600889,-3.533090634591112,-3.4364397421900175,-3.1055364802322165
-3.8229864935665168,-3.757922413720043,-3.711196726308283,-3.669188062392907,-3.5865147905802286,-3.5033129032775183,-3.407676506685049,-3.0771590751785403
-3.790782247702528,-3.7265852241356887,-3.6798853043295012,-3.6382156536236536,-3.555576120899285,-3.4727907112830714,-3.378190812555748,-3.047960101537133
-3.7572124128280904,-3.6941840665986225,-3.6476174979552507,-3.6062558594807332,-3.5234390362899797,-3.44161433166013,-3.3479435030614404,-3.017913224739672
-3.722305827113024,-3.6608794362741426,-3.6144206255785782,-3.5732757185713306,-3.490402000737982,-3.4098362612460806,-3.3169308316839747,-2.987034908350993
-3.6867318686719663,-3.626831461160764,-3.5803221070829823,-3.5392572334089847,-3.4566630990191323,-3.377471153512306,-3.2851491882306787,-2.9554565198908076
-3.650621322588662,-3.5921328150446645,-3.545354001452904,-3.5043009760530075,-3.42235190010192,-3.344532011301605,-3.2525957540936057,-2.9233285107319364
-3.6134102033408704,-3.5567304784286984,-3.509554829177307,-3.468563952004672,-3.3875966809120523,-3.3110316542469724,-3.2192948252470943,-2.8908013322472046
-3.5749055083573933,-3.5205524425160504,-3.4729635893066293,-3.4322035115865703,-3.3525117999019196,-3.27696966037804,-3.1853039391550566,-2.85800937955214
-3.535849589701936,-3.4835286554837985,-3.4356211128589735,-3.3953581454611585,-3.3170462617305163,-3.2423236735780776,-3.1506826662128335,-2.824983465252776
-3.4965608134184727,-3.4456627280666265,-3.397599512966653,-3.358073748830256,-3.281043031133497,-3.20706927596973,-3.1154905768157626,-2.7917132843101067
-3.4566861336467127,-3.4070525872421453,-3.3589971308127398,-3.3203678459175707,-3.244451043291983,-3.17118204967565,-3.0797872413591887,-2.758188451437899
-3.4161467903462888,-3.367802326961945,-3.319913118885589,-3.282257953578527,-3.2073683785030194,-3.134662650255864,-3.0436322302384506,-2.7244117575991256
-3.375286700726447,-3.328014688513244,-3.280445408789927,-3.243765897469914,-3.169875603276311,-3.0976131420448887,-3.0070851138488908,-2.6904210518498326
-3.33411127682467,-3.2877638351270693,-3.2406784227885077,-3.204933924597628,-3.132025372434829,-3.0601612234191933,-2.9702054625858483,-2.6562599497726223
-3.292404659813576,-3.2470966922643214,-3.2006881813528305,-3.1658103258096615,-3.0938691858366636,-3.0224340044274616,-2.9330528468446646,-2.6219720669500943
-3.25019916021392,-3.2060591009726362,-3.16055057837563,-3.126443872747166,-3.0554604862047063,-2.9845276474040845,-2.89568683702068,-2.5876010189648486
-3.207690867930187,-3.1647261536643594,-3.1203363952078025,-3.0868966665190607,-3.0168636668846713,-2.9464926936457068,-2.858167003509234,-2.5531904213994854
-3.16512023117945,-3.1233799774824993,-3.0800915482358953,-3.0472455512794623,-2.978146954390667,-2.9083760222025825,-2.8205529167056693,-2.518783889836609
-3.122658040637143,-3.0823301344339176,-3.039854405538804,-3.007568134669727,-2.9393785792993583,-2.8702245121249534,-2.782904147005325,-2.484427037509322
-3.08028182488398,-3.0414960861884786,-2.9996634649584912,-2.9679420243312236,-2.9006251879761065,-2.8320850424630715,-2.7452802648035446,-2.45017367566373
-3.0380383679654392,-3.0007469615348143,-2.959581886367784,-2.928444827905315,-2.86194745319473,-2.7940044922671814,-2.7077408671627574,-2.4160797182407836
-2.9960616667752866,-2.960185445015103,-2.9197258791850507,-2.889154153033362,-2.823404639995284,-2.756029760517825,-2.670346722992882,-2.3822010791827193
-2.954488616865619,-2.919946936729589,-2.880208198583935,-2.850147542241904,-2.785056459754855,-2.7182128792129228,-2.633160206641024,-2.3485936724317673
-2.913443387455795,-2.8801566069189355,-2.841125156168911,-2.811490853002231,-2.7469730350261043,-2.6806178144025563,-2.5962438085424755,-2.315313411930165
-2.872997830674743,-2.8408706659398786,-2.8025248893891517,-2.7732248429293143,-2.709234980974977,-2.643310224271226,-2.5596600191325205,-2.282416211620144
-2.8332103567057003,-2.802116837491878,-2.7644334307062826,-2.7353870190338667,-2.671923375392304,-2.606355767003432,-2.5234713288464423,-2.249957624217225
-2.7941391923453627,-2.7639227553391743,-2.726876692311166,-2.698014888326611,-2.6351169491251625,-2.5698201007836827,-2.4877402281195327,-2.217959558436728
-2.755819355133498,-2.726316053246001,-2.689880586394658,-2.6611459578182606,-2.598847138462664,-2.533768883796478,-2.452529207387075,-2.1863833965063177
-2.718240227100911,-2.689324364976593,-2.6534710251476152,-2.624817734519532,-2.5631015255208913,-2.498267774226321,-2.4178849463117356,-2.1551841945492116
-2.6813858680856884,-2.6529753242951846,-2.6176739207608914,-2.5890677254411405,-2.52786603477975,-2.4633718616921065,-2.383775954879962,-2.1243170086886227
-2.6452401487216965,-2.6172965649660145,-2.5825151567518065,-2.5539308735256543,-2.493126469539374,-2.429051701966564,-2.350146628078382,-2.093736895047774
-2.609765598927864,-2.5823023614432556,-2.547994888186145,-2.5193884316250608,-2.458867477074309,-2.39523729347397,-2.316941354016824,-2.0633989097498766
-2.574884111865073,-2.5479331193063826,-2.514040197293226,-2.485370743394391,-2.4250730635694584,-2.3618583786373066,-2.284104520805127,-2.0332581089181536
-2.540513022895502,-2.5141038539461467,-2.480565281353045,-2.4518061450924535,-2.391727228378298,-2.3288446998795505,-2.251580516553123,-2.003269528171288
-2.506569667381327,-2.4807295576142274,-2.4474843376456,-2.4186229729780573,-2.3588076953014796,-2.2961259996236807,-2.2193137293706466,-1.973387316271407
-2.4729733753094054,-2.447725222562304,-2.414711563450888,-2.385749563310014,-2.326230535526649,-2.263632020292675,-2.187248547367532,-1.9435644151365221
-2.439652890338143,-2.4150058410420554,-2.382161156048906,-2.3531142523471336,-2.293876826154847,-2.2312925043095104,-2.155328803695909,-1.913753680272393
-2.406537316692569,-2.3824864053051655,-2.3497473127196553,-2.320645376348228,-2.26162724260779,-2.1990377454564274,-2.123492798251877,-1.8839079671847854
-2.373542710097047,-2.3500819076033097,-2.317384230743129,-2.288271271572108,-2.2293641032934874,-2.1668064026026235,-2.0916756536281804,-1.8539801313794553
-2.3405805884360618,-2.3177073570818076,-2.2849866738488966,-2.2559165387272153,-2.1970069419424605,-2.1345436334676653,-2.059812454600526,-1.82392302836217
-2.3075615436173007,-2.285278981549761,-2.252484413864599,-2.223488758391339,-2.1645121918329013,-2.1021947664108653,-2.027838285944618,-1.7936895136386886
-2.2743958141707066,-2.252715026154896,-2.2198234206571867,-2.1908906663578698,-2.1318378660728974,-2.0697051297915383,-1.9956882324361602,-1.7632324427147719
-2.2409936379081756,-2.2199339255068944,-2.1869504689658363,-2.158024998072482,-2.0989419777705356,-2.0370200519689985,-1.963297378850858,-1.7325046710961822
-2.207265633014877,-2.1868541142154383,-2.1538123335297215,-2.124795285315926,-2.065782540033903,-2.004084861302559,-1.9306008099644127,-1.7014590542886792
-2.173144070588388,-2.1533983970361823,-2.1203557890880185,-2.0911445540553393,-2.0323175659710873,-1.9708448861515377,-1.8975336914691743,-1.6700484477980262
-2.1385941280204293,-2.119527159806041,-2.0865276103799073,-2.0570727049604125,-1.9985050686901777,-1.93724545487525,-1.8640412287164083,-1.6382257071299862
-2.103583738076341,-2.0852199472785644,-2.0522745721445603,-2.0225840567239586,-1.964303061299261,-1.9032322819340977,-1.830088260809229,-1.605943687790319
-2.068080833592363,-2.0504564569233827,-2.0175434491211526,-1.9876823172116247,-1.9296671895238577,-1.8687533658234041,-1.795641901633361,-1.573155245284787
-2.0320566826484407,-2.015216148839371,-1.9822814577803687,-1.952343111519088,-1.8945394347906341,-1.8337575418520737,-1.7606692650745281,-1.5398132351191507
-1.9954948023853447,-1.979466665827339,-1.946444982264754,-1.9165028559226778,-1.8588568866825963,-1.798193646589805,-1.7251374650184519,-1.5058705281576505
-1.9583739309328312,-1.9431586068176145,-1.9099990548877008,-1.8800950526722635,-1.8225566285708727,-1.7620105166063036,-1.6890136153508615,-1.4712874038964938
-1.9206132080330311,-1.906241243906228,-1.8729090456830402,-1.843053204017706,-1.7855757438265822,-1.7251569884712663,-1.6522648299574754,-1.4360434251075564
-1.8821361933763436,-1.8686638491892158,-1.8351403246846127,-1.8053108122088737,-1.7478513158208522,-1.6875818987543982,-1.6148572578813893,-1.4001212519205437
-1.8430135270164874,-1.8303756947626098,-1.7966582619262526,-1.76680137949563,-1.709320427924804,-1.6492341803361423,-1.576731806807901,-1.363503544465154
-1.803321547470806,-1.7913260527224428,-1.7574282274417943,-1.7274584081278401,-1.6699201882961796,-1.6100702731844379,-1.5378023225166626,-1.326172962871088
-1.7629129265813446,-1.7514641951647485,-1.7174155912650748,-1.6872235674979723,-1.6296167849543617,-1.5700593737757629,-1.4979813212814288,-1.2881121672680462
-1.7216633165424806,-1.710756966858658,-1.6766029117667292,-1.6461291922627843,-1.5884616547084063,-1.5291719182109214,-1.4572144992744365,-1.2493038382349448
-1.679726366445006,-1.6693151073911734,-1.635057517050091,-1.6042641416020367,-1.546521774964405,-1.4873846063899958,-1.4155838530995963,-1.2097807305932657
-1.6372993879577449,-1.627319777319246,-1.5928728228771034,-1.561718143035217,-1.5038665969945268,-1.4447782572638839,-1.3732063736995568,-1.1697333507042569
-1.5945814378590204,-1.5849526329423522,-1.5501436408664833,-1.5186120623988586,-1.46062797475607,-1.4015195134420178,-1.330207223593742,-1.1293831919406483
-1.551798756055951,-1.5424005028091898,-1.5070404665050963,-1.475166109003477,-1.4170033849158197,-1.3577788027226387,-1.286792647616301,-1.0889517476751653
-1.5091990698012587,-1.4998629628092903,-1.463846913539264,-1.4316202609395716,-1.3731937891050021,-1.3137754133121022,-1.2432152738549107,-1.0486605112805356
-1.4670306937378161,-1.4575415177439917,-1.4208557736340595,-1.388214765208175,-1.3294207302400323,-1.2697928688007218,-1.1997299551145946,-1.0087309761294856
-1.425546800731523,-1.4156400144835053,-1.3783404768363166,-1.3451910888952079,-1.2859368648850984,-1.226119063459229,-1.1566195213804322,-0.9693749926170463
-1.385016460681852,-1.374392104869616,-1.336529863951865,-1.3027910449396531,-1.2429975622165037,-1.1830418915583594,-1.1141898986482037,-0.9307616974933367
-1.3457119899263772,-1.3340519694150847,-1.2956465209449042,-1.2612548307760068,-1.200883399121598,-1.1408492473688492,-1.0727444844044725,-0.8930484048450066
-1.3079027440551487,-1.2948741942090836,-1.2559042084856267,-1.2207712119803302,-1.1599196538829104,-1.0998290105732496,-1.0324576207411953,-0.8563894851057912
-1.2716911801173618,-1.2570596743033502,-1.2173873740081231,-1.1814680643803823,-1.1202806558352456,-1.0601834981170217,-0.9933337265249987,-0.8208268010734463
-1.236927059331379,-1.2205652779806722,-1.1800823020350248,-1.1434697397857323,-1.0819964850133483,-1.0218278506214835,-0.9553656325250809,-0.7862571599308565
-1.2034390917405555,-1.1852785810652189,-1.1439728305865613,-1.106844218690868,-1.044957831936852,-0.984617026510926,-0.9185275152334565,-0.752567783995848
-1.1710552395111042,-1.1510870687607235,-1.1090134826221594,-1.0714296776537544,-1.0090073564613302,-0.948405984209648,-0.8827022584495723,-0.7196386462029101
-1.1395767422938896,-1.1178512284669166,-1.0750347954837165,-1.037005741980727,-0.9739876648476842,-0.913049682141938,-0.8477448622278629,-0.687308056160008
-1.108771428328296,-1.0853662889805666,-1.0418345334423085,-1.0033520369636002,-0.9397372956874794,-0.878403078732095,-0.8135102975825649,-0.6553994682812405
-1.0784050192347743,-1.053417814283643,-1.0092104605698875,-0.970248187894182,-0.9060621550577679,-0.8443211324044101,-0.7798288803468649,-0.6237363186962782
-1.0482432366337775,-1.0217913683581188,-0.9769589021091253,-0.9374738200642825,-0.8727524531993688,-0.8106586106958321,-0.7464590640337648,-0.5921420435347939
-1.018045405064556,-0.9902701939404542,-0.94484418481525,-0.9048085587657121,-0.8395983002689114,-0.7772196834293372,-0.7131462806945211,-0.5604400789264606
-0.987445587466119,-0.9585920813305778,-0.912599233498798,-0.8720320292902786,-0.8063785329453214,-0.7436901962845708,-0.6796359623803883,-0.5284538610009492
-0.955963651048406,-0.9264533837549881,-0.8799556534628237,-0.8389167473661326,-0.7727654629203716,-0.7097391074041596,-0.6456735411426271,-0.49600693988618133
-0.9231152850510468,-0.8935489384214613,-0.846643277807785,-0.8051053225686742,-0.738372774353029,-0.6750353749307223,-0.6110044490324904,-0.46294031972463556
-0.8884161787136793,-0.8595735825377828,-0.8122714375021419,-0.7701267735440988,-0.7028135419917637,-0.6392479570068866,-0.575374118101238,-0.4291310753586416
-0.8512917029801512,-0.8241473499648273,-0.7762540469692378,-0.7335062908550309,-0.6657028784459966,-0.6020458117752727,-0.5385280601060879,-0.39446074612468807
