Q_dch_interp_01,Q_dch_interp_03,Q_dch_interp_05,Q_dch_interp_07,Q_dch_interp_09,Q_dch_interp_11,Q_dch_interp_13
-4.2011643019891505,-4.083652615311437,-4.012414686504125,-3.9543701973563565,-3.811757618079192,-3.5477401894897747,-3.053036170051449
-4.184351089173341,-4.06752685992736,-3.9963268746476013,-3.9383237616523985,-3.7945342092647127,-3.5297633840399834,-3.035628873889671
-4.166840609587645,-4.050798571738674,-3.979576903541422,-3.9216322214940824,-3.7765287169956836,-3.5110150696493188,-3.017574562695033
-4.148590664969199,-4.033436670335735,-3.962102070676948,-3.9042177250843957,-3.7576680972788874,-3.491451534754936,-2.998842445114098
-4.129559057055136,-4.015394075895157,-3.943839673545533,-3.885983120775136,-3.737879574330127,-3.4710575505793964,-2.9794017297934214
-4.1097035875825885,-3.996483180491916,-3.9247270096385316,-3.866824507352741,-3.717118183608915,-3.4498242262376353,-2.959222140213152
-4.08898205828869,-3.976443475600482,-3.904701376447302,-3.8466381763424335,-3.6953906417064646,-3.4277426708445913,-2.9382928223345477
-4.067352257971151,-3.9550175507078587,-3.883699308746211,-3.825347123606962,-3.672709287956845,-3.4048039935152,-2.9166278155545307
-4.044755106403793,-3.9322944928823578,-3.861632320737151,-3.8029276235175957,-3.649080598571451,-3.380999472465062,-2.894242789463516
-4.021081494608696,-3.9089600464074667,-3.83838187446655,-3.7793624207434693,-3.624492317338968,-3.356329997920495,-2.8711534136519186
-3.996213082396138,-3.8849922586410743,-3.8138321181472823,-3.75466483865326,-3.59892859786511,-3.33081105951077,-2.847375357710156
-3.970045680692102,-3.8595940920621286,-3.7880046600573936,-3.728916164856582,-3.572383417909623,-3.304459368396066,-2.8229242912286425
-3.9426308120776925,-3.832727771505749,-3.7610811911501347,-3.7022040874053577,-3.5448667474366893,-3.2772916357365713,-2.7978158837977953
-3.91411607442975,-3.8047602658136714,-3.7332268127963086,-3.674550390596474,-3.5164070112223484,-3.249324575774785,-2.7720658050080282
-3.884574514093,-3.775880354485504,-3.704436337003169,-3.6459095165110664,-3.4871654025563754,-3.2205762900169805,-2.745689737779572
-3.8539237274923184,-3.7459001386370563,-3.6746351019859618,-3.6162377220233775,-3.4573546426065422,-3.191068450781115,-2.718710988713573
-3.822156696131065,-3.714596228882745,-3.6437612338059826,-3.5855625833526976,-3.426870566212484,-3.160823297053791,-2.6911732318664012
-3.789253898648144,-3.6820565591741987,-3.611805293189784,-3.553964881085507,-3.3952532861828884,-3.1298630678811277,-2.663123506193305
-3.7551431428040076,-3.6487043232681926,-3.5787859057381084,-3.521481552412386,-3.362395030558724,-3.098216141061748,-2.634608850649539
-3.7198015173295635,-3.614705647650301,-3.5448169485001406,-3.4880870369494166,-3.328908833986571,-3.065933896541135,-2.6056763041903577
-3.683266687351235,-3.5798348698313447,-3.510040258295176,-3.4537511939963874,-3.2951574294324164,-3.033073100844888,-2.5763729057710134
-3.6457350481498487,-3.543873628641192,-3.4744386290459857,-3.4184462367865223,-3.26070137552837,-2.9996905204986066,-2.54674569434676
-3.607789874439032,-3.506666165586508,-3.4373297526929685,-3.3822950121355313,-3.225082819840604,-2.96584292202789,-2.5168417088496016
-3.5683786292457977,-3.4683584884659933,-3.3995072108726747,-3.3456593569914688,-3.1885990781339593,-2.931587071958342,-2.486707275543525
-3.5289547233280483,-3.429402972224374,-3.362097778426607,-3.308706933575542,-3.1518067218748835,-2.89697973681556,-2.456386138441202
-3.4877300410695664,-3.390231825890089,-3.323136982717317,-3.2709133434605335,-3.1147885246485103,-2.8620777250298963,-2.4259214568863765
-3.446774560402086,-3.3509493740631178,-3.2845843876182776,-3.232310899692821,-3.0774750062408,-2.8269419366871023,-2.3953563902227857
-3.4052712996238323,-3.3092536857531756,-3.245743054698073,-3.1941522557972575,-3.039832193330905,-2.791640739891581,-2.3647340977941687
-3.363674893144741,-3.2695567620882375,-3.204608652487294,-3.154379560137926,-3.001867959115586,-2.7562432975525586,-2.334097738944266
-3.3194805136763157,-3.227119226995367,-3.1654681632471764,-3.1152693168778476,-2.963658132588134,-2.7208176280332985,-2.3034904730168133
-3.2762116047450225,-3.1864054901663157,-3.124025456780974,-3.0755087560309975,-2.9252864338115456,-2.6853928622678973,-2.2729551128732037
-3.2335346526986815,-3.1438311774784253,-3.0843187617050463,-3.0354020265187596,-2.8868365828488094,-2.6499506385952256,-2.2425248381275935
-3.1899298522373756,-3.1020875304619584,-3.0431479655903186,-2.99564977919536,-2.848392299762921,-2.6144697081870616,-2.212222168471847
-3.1460709271689105,-3.0603915842395306,-3.002068259257311,-2.955244952717082,-2.81003730461687,-2.5789626072240655,-2.182069071120084
-3.1025359883586536,-3.018483428507674,-2.9620570985015378,-2.9152319158984423,-2.771855233003981,-2.5435969632812583,-2.152087513286426
-3.0599243419404996,-2.9769299014624258,-2.9216631009204606,-2.8753724714374576,-2.733875512649479,-2.508545282948905,-2.1222994621849955
-3.0153421424230005,-2.935736579189104,-2.8804705067287615,-2.8356510754130246,-2.6959835862629156,-2.473845639938735,-2.0927268850299168
-2.971866358465575,-2.8947203570955007,-2.8407127466443347,-2.7961023073112052,-2.658237213333061,-2.4395025992170547,-2.0633917490353104
-2.92971044086452,-2.854207069249272,-2.8008931958452004,-2.756977695123531,-2.620978615612115,-2.4055060556148113,-2.034313584349706
-2.8867624661052433,-2.8136539584899682,-2.7616186083264176,-2.7182512863200765,-2.584155896019943,-2.3718432322108116,-2.005487799907406
-2.845834656090342,-2.7746493328535253,-2.7221720091485726,-2.679811006756438,-2.54739569787572,-2.3385022828179425,-1.9768960331706993
-2.8051747334571955,-2.735974544877596,-2.684450830487261,-2.6427128182377295,-2.510987471384345,-2.305494508054546,-1.948519760599779
-2.7643458046193228,-2.6966270344189103,-2.6473711819582775,-2.6051655194964853,-2.475565814443219,-2.2728553653291628,-1.9203404586548356
-2.7254996481930323,-2.659350068811892,-2.6093345324277584,-2.567899801630328,-2.441168642385415,-2.240621444896894,-1.8923396037960643
-2.687182789451826,-2.6228131823811,-2.5731942660591955,-2.5321724887751387,-2.4067081141102467,-2.2088283877273254,-1.8644986724836548
-2.6489245511379433,-2.5863497931822863,-2.537694117398842,-2.496786834504162,-2.3723790671064573,-2.1774413895685427,-1.8367991411626656
-2.61220330876677,-2.5504512653711964,-2.502739141853309,-2.462349902634956,-2.3389467426942403,-2.146307971527938,-1.8092163470180058
-2.5765464983270934,-2.5153962903773097,-2.468248915282458,-2.428453378800422,-2.3060638786300918,-2.1153131122065414,-1.7817020584208647
-2.540810775856934,-2.4809510871497373,-2.434144104238584,-2.3942453721036285,-2.273096333929875,-2.0844742869671062,-1.7542023887310485
-2.5051985539430577,-2.4469102637426343,-2.4003765187685984,-2.3603840941907137,-2.2401413759546815,-2.0537871987258036,-1.7266634513083625
