Q_dch_interp_01,Q_dch_interp_03,Q_dch_interp_05,Q_dch_interp_07,Q_dch_interp_09,Q_dch_interp_11,Q_dch_interp_13,Q_dch_interp_15,Q_dch_interp_17,Q_dch_interp_19,Q_dch_interp_21,Q_dch_interp_23,Q_dch_interp_25
-4.522801485525496,-4.5277101344216835,-4.519322719169196,-4.51272353251463,-4.498917836902266,-4.489013013366231,-4.4857709978038285,-4.4640903875827265,-4.445058317702369,-4.42985444101731,-4.418861789580574,-4.401092756863827,-4.367815732897943
-4.514492052156859,-4.519545364361543,-4.511228826159715,-4.504655222125054,-4.490882401617332,-4.480961932400099,-4.477755807321173,-4.456042298540851,-4.43697962891484,-4.421790890817857,-4.410728619111211,-4.392909384474162,-4.359792385180177
-4.505906325672865,-4.511165410859208,-4.502951970691964,-4.496400644441803,-4.482687752679657,-4.472777570620676,-4.46961344730417,-4.447868336880267,-4.428766304473014,-4.413592353744259,-4.40245659731196,-4.384585826257531,-4.351673845311738
-4.497054557750044,-4.502555375160155,-4.494471970220706,-4.48794882230591,-4.474302686309868,-4.464435660807018,-4.461312553268769,-4.439552880188721,-4.420393132314207,-4.405231015576051,-4.39403004774172,-4.376122030619369,-4.343447500874572
-4.4879472086752505,-4.493696543804792,-4.485749512645484,-4.479274347301067,-4.465691798407498,-4.455895119192475,-4.452816239264245,-4.431057686180643,-4.411830531858113,-4.3966768542798045,-4.385429750475364,-4.367517895346886,-4.335079420383599
-4.478581201143361,-4.484564036509072,-4.476743295392286,-4.470333970152561,-4.4568196848720705,-4.447114450425071,-4.444087619339882,-4.4223427174160745,-4.403048922524425,-4.38789984782209,-4.376636485422193,-4.3587631230329364,-4.3265345445264645
-4.46894002954667,-4.475132411666232,-4.467412015887107,-4.4610833361938145,-4.447650941603115,-4.43805215915283,-4.435089807544959,-4.413367936455054,-4.39401872373284,-4.378869974169481,-4.367631032491503,-4.349824927137785,-4.317777813990805
-4.459006612920669,-4.46537622766951,-4.457716084180273,-4.451478090758252,-4.438150164500162,-4.428666750023779,-4.425785917928755,-4.404093305857624,-4.384710354903055,-4.369557211288548,-4.358394171592592,-4.340667517735809,-4.308774169464268
-4.448763870300846,-4.455270042912137,-4.44763367907208,-4.441478121656994,-4.428281949462738,-4.41891672768594,-4.416139064540549,-4.394478788183824,-4.375094235454762,-4.359931537145864,-4.348906682634759,-4.331255104901384,-4.29948855163449
-4.438194720722686,-4.444788415787351,-4.437153502278697,-4.4310636816657745,-4.418010892390371,-4.408760596787339,-4.406112361429624,-4.384484345993692,-4.365140784807656,-4.349962929707999,-4.339149345527301,-4.321551898708887,-4.289885901189116
-4.427282083221683,-4.433905904688388,-4.426264393093742,-4.420221126806358,-4.407301710417887,-4.398156861975998,-4.395668926998868,-4.37406994184727,-4.354820418236414,-4.339621366941529,-4.329102940179516,-4.311522109232697,-4.279931158815784
-4.41600887683332,-4.422597079899671,-4.414958702413018,-4.40893682193924,-4.39613690891695,-4.387072317690416,-4.384782748609486,-4.36319707883052,-4.344093202811431,-4.328876826813023,-4.318735682176657,-4.301129946547192,-4.269589471806937
-4.404358939358066,-4.410856041756642,-4.403256846252278,-4.397209771956595,-4.384535359857927,-4.375521860033086,-4.37346211074748,-4.351859174452527,-4.3328865517237665,-4.3176992872890505,-4.307957908341423,-4.290339620726745,-4.258834201568956
-4.39233897626274,-4.398736207117741,-4.391192696320238,-4.385077371959058,-4.372520379113612,-4.363537691660823,-4.361722046201976,-4.340079720697657,-4.321121453186358,-4.306058726336188,-4.296663300066011,-4.279102287887439,-4.2476494866416505
-4.379979568884318,-4.386302212335334,-4.378800209022737,-4.372584278408663,-4.360115282556802,-4.351152038054864,-4.349577587762103,-4.327883381679819,-4.308718895412149,-4.293925121921005,-4.284746116340995,-4.267265003193161,-4.236020196653903
-4.367312419083179,-4.3736186937617845,-4.36611334076561,-4.359775147767445,-4.347343386060295,-4.338397124696454,-4.337043768216987,-4.315294821512921,-4.295599866614078,-4.281268452010073,-4.2721843684038525,-4.254625003674967,-4.223931201234598
-4.354369228719703,-4.360750287749456,-4.353165995471841,-4.346694636497436,-4.334228218111818,-4.325305139142395,-4.324135676996237,-4.302338704310869,-4.28171700433351,-4.268062991568796,-4.259126644443516,-4.24101293261351,-4.2113673700126215
-4.341181698730546,-4.34775479813527,-4.339978064422858,-4.33338326225151,-4.320796648816104,-4.311900998942826,-4.31087247291667,-4.289036607891606,-4.268450124764403,-4.254448189450542,-4.24570710070379,-4.227817497253857,-4.198314818250682
-4.327769410780758,-4.3345880731479545,-4.326536622209968,-4.319830644770144,-4.307078205175775,-4.298193764049378,-4.297280041764652,-4.275393638789634,-4.255509298211413,-4.240917508215467,-4.231949517619482,-4.215157907545395,-4.184780245597244
-4.314109486704024,-4.321127617871187,-4.3128240520642205,-4.305992194108675,-4.293102487603568,-4.284190403892944,-4.283384899948677,-4.261409430964932,-4.2410004798404595,-4.227074231396924,-4.217856089914843,-4.200846935665965,-4.170787255868162
-4.300169754985886,-4.307225272171704,-4.29882273721666,-4.291822685209894,-4.278899096512226,-4.269897887904409,-4.269213563877235,-4.247083614730482,-4.2260020757920245,-4.21230288674426,-4.203429012314117,-4.185418134215666,-4.156359953505828
-4.285918044111886,-4.292523431915796,-4.284515060898331,-4.2772768930166,-4.264497632314481,-4.255323185514666,-4.254792549958821,-4.232415820399267,-4.211028441327184,-4.197350183905864,-4.188670479541553,-4.170894923936979,-4.1415224429526365
-4.27132218256757,-4.279099332240841,-4.269883311682166,-4.262309592471581,-4.2496627320886295,-4.240471928679644,-4.240146634229071,-4.217405649910606,-4.196112279705098,-4.182554744365843,-4.173581982336351,-4.1561403010014555,-4.126308715981737
-4.256349773049043,-4.260396231859073,-4.254899452707669,-4.246924818830998,-4.232989578168836,-4.225307737582277,-4.225245925420281,-4.202035678224932,-4.178474697278138,-4.164813488523342,-4.158123757629003,-4.137658529194977,-4.110841287466274
-4.240947047715819,-4.24819327294429,-4.2395159734464025,-4.231431708393732,-4.218396649874495,-4.209744818511762,-4.2099962330427365,-4.1862426688674566,-4.164144069898283,-4.150592463351277,-4.142192659146433,-4.123979621788092,-4.095189232946117
-4.225021601864965,-4.23349182771339,-4.2236832048271635,-4.215851026571832,-4.202797005549711,-4.193694547625741,-4.194299683932823,-4.169955759335641,-4.148196757133558,-4.1342318211212294,-4.125680153249922,-4.107130578989244,-4.079040992029129
-4.208476967348467,-4.216946120893508,-4.207351477778756,-4.199424079871168,-4.18602986698335,-4.177068320411451,-4.178058404969204,-4.153104087126948,-4.130453242994712,-4.116097746777303,-4.108477736477899,-4.08948322245688,-4.061993891304522
-4.191216677894055,-4.20018541055974,-4.190461184416683,-4.18223014898868,-4.168744676112994,-4.159817805145948,-4.161175684773734,-4.1356095101655175,-4.112066968378307,-4.0977269642166405,-4.090494542567937,-4.071410131358522,-4.043984784887519
-4.173160368470505,-4.1828855813097165,-4.172900212004564,-4.164328203333304,-4.15085360125321,-4.1420197628430095,-4.143559005470328,-4.117355429780352,-4.09300939013503,-4.078845184964389,-4.0716869757141785,-4.052586645686269,-4.025350390018964
